text,card_number,date,full_name,amount,merchant
"On 2011-10-03, Vanessa Cardenas paid $643.6 using card number 4519832731585149361 at Day, Johnson and Hickman.",4519832731585149361,2011-10-03,Vanessa Cardenas,643.6,"Day, Johnson and Hickman"
"On 2006-02-06, Valerie Davis paid $561.38 using card number 3502445502296126 at Bennett Group.",3502445502296126,2006-02-06,Valerie Davis,561.38,Bennett Group
"On 2000-01-31, Matthew Tucker paid $687.77 using card number 345459910229014 at Nelson-Fischer.",345459910229014,2000-01-31,Matthew Tucker,687.77,Nelson-Fischer
"On 1979-05-04, Eric Clark paid $844.42 using card number 2286149784036903 at Roberts-Wilson.",2286149784036903,1979-05-04,Eric Clark,844.42,Roberts-Wilson
"On 1991-04-22, Joe Miller paid $778.24 using card number 36226838851607 at Patterson, Sullivan and Bowman.",36226838851607,1991-04-22,Joe Miller,778.24,"Patterson, Sullivan and Bowman"
"On 2023-01-08, Nichole Walker paid $236.76 using card number 4605297516136968160 at Jones Ltd.",4605297516136968160,2023-01-08,Nichole Walker,236.76,Jones Ltd
"On 2022-08-05, Mary Thompson paid $41.78 using card number 2683552312432925 at Snyder, Webster and Wolf.",2683552312432925,2022-08-05,Mary Thompson,41.78,"Snyder, Webster and Wolf"
"On 1972-07-23, Benjamin Murray paid $322.3 using card number 30552717744902 at Wood LLC.",30552717744902,1972-07-23,Benjamin Murray,322.3,Wood LLC
"On 1977-01-16, Chris Brown paid $275.06 using card number 5399867980793590 at Haas-Miller.",5399867980793590,1977-01-16,Chris Brown,275.06,Haas-Miller
"On 1992-10-09, Amy Mccoy paid $218.87 using card number 4037788925546656 at Rivera PLC.",4037788925546656,1992-10-09,Amy Mccoy,218.87,Rivera PLC
"On 2025-05-03, James Conner paid $943.48 using card number 4449251925462913 at Santiago Ltd.",4449251925462913,2025-05-03,James Conner,943.48,Santiago Ltd
"On 2022-06-17, Ryan Garcia paid $877.6 using card number 4685054235733228 at Conley, Stephenson and Johnson.",4685054235733228,2022-06-17,Ryan Garcia,877.6,"Conley, Stephenson and Johnson"
"On 2023-05-04, Lisa Goodwin paid $321.53 using card number 349622292706539 at Young-Allen.",349622292706539,2023-05-04,Lisa Goodwin,321.53,Young-Allen
"On 1987-01-05, Rebecca Taylor paid $658.88 using card number 30359774688620 at Davidson LLC.",30359774688620,1987-01-05,Rebecca Taylor,658.88,Davidson LLC
"On 1993-10-15, Thomas Velasquez paid $401.68 using card number 213181412478266 at Perry Group.",213181412478266,1993-10-15,Thomas Velasquez,401.68,Perry Group
"On 2017-05-14, Dustin Gallegos paid $915.4 using card number 180036153051525 at Blake Group.",180036153051525,2017-05-14,Dustin Gallegos,915.4,Blake Group
"On 1986-03-24, Cynthia Martinez paid $464.26 using card number 30010432898610 at Fowler-Dean.",30010432898610,1986-03-24,Cynthia Martinez,464.26,Fowler-Dean
"On 1975-10-29, Jason Beck paid $272.23 using card number 5479808932460956 at Villegas, Jones and Fox.",5479808932460956,1975-10-29,Jason Beck,272.23,"Villegas, Jones and Fox"
"On 2009-08-07, Matthew Garcia paid $254.16 using card number 213167065405151 at Sherman, Anderson and Bell.",213167065405151,2009-08-07,Matthew Garcia,254.16,"Sherman, Anderson and Bell"
"On 2025-06-28, Eric Sanders paid $565.75 using card number 347722170430301 at Kennedy, Johnson and Lucas.",347722170430301,2025-06-28,Eric Sanders,565.75,"Kennedy, Johnson and Lucas"
"On 1982-04-13, Angela Morrison paid $270.11 using card number 4054156676527758413 at Carter, Garcia and Murphy.",4054156676527758413,1982-04-13,Angela Morrison,270.11,"Carter, Garcia and Murphy"
"On 1979-09-19, Meghan Cisneros paid $588.74 using card number 4796275705964016589 at Gregory, Kim and Martinez.",4796275705964016589,1979-09-19,Meghan Cisneros,588.74,"Gregory, Kim and Martinez"
"On 2014-03-15, Kendra Sanders paid $898.84 using card number 4569092755719 at Wright-Wilson.",4569092755719,2014-03-15,Kendra Sanders,898.84,Wright-Wilson
"On 2018-07-18, Samuel Hayes paid $405.41 using card number 3578681447394738 at Osborn-Cochran.",3578681447394738,2018-07-18,Samuel Hayes,405.41,Osborn-Cochran
"On 1994-07-24, Cynthia Snyder paid $227.13 using card number 371884422583136 at Armstrong, Mcdonald and Bird.",371884422583136,1994-07-24,Cynthia Snyder,227.13,"Armstrong, Mcdonald and Bird"
"On 2023-02-05, Haley Humphrey paid $997.56 using card number 4146786691251772 at Bowman, White and Burch.",4146786691251772,2023-02-05,Haley Humphrey,997.56,"Bowman, White and Burch"
"On 2007-06-27, Danielle Reid paid $514.43 using card number 6011182422535849 at Martinez-Turner.",6011182422535849,2007-06-27,Danielle Reid,514.43,Martinez-Turner
"On 2013-08-26, Scott Miller paid $100.0 using card number 213182992299593 at Baker, Clark and Armstrong.",213182992299593,2013-08-26,Scott Miller,100.0,"Baker, Clark and Armstrong"
"On 1979-10-11, John Peterson paid $56.65 using card number 3578447364710276 at Hensley-Flores.",3578447364710276,1979-10-11,John Peterson,56.65,Hensley-Flores
"On 2011-11-17, Anthony Dougherty paid $118.55 using card number 372588153714732 at Wright-Grimes.",372588153714732,2011-11-17,Anthony Dougherty,118.55,Wright-Grimes
"On 1973-04-24, David Aguilar paid $631.17 using card number 4953278774701685 at Campbell PLC.",4953278774701685,1973-04-24,David Aguilar,631.17,Campbell PLC
"On 1996-04-16, Heidi Roberts paid $794.16 using card number 4480162456506095 at Cole, Pierce and Bryan.",4480162456506095,1996-04-16,Heidi Roberts,794.16,"Cole, Pierce and Bryan"
"On 2024-09-16, Andrew Reeves paid $427.94 using card number 3521655852398689 at Stone-Hernandez.",3521655852398689,2024-09-16,Andrew Reeves,427.94,Stone-Hernandez
"On 1990-05-27, Kim Erickson paid $72.89 using card number 213159526949588 at Cabrera-Richardson.",213159526949588,1990-05-27,Kim Erickson,72.89,Cabrera-Richardson
"On 1995-11-15, Michelle Hampton paid $387.8 using card number 4694097499309721 at Underwood and Sons.",4694097499309721,1995-11-15,Michelle Hampton,387.8,Underwood and Sons
"On 2011-08-12, Damon Shaw paid $996.16 using card number 676213075622 at Salas-Fitzgerald.",676213075622,2011-08-12,Damon Shaw,996.16,Salas-Fitzgerald
"On 2006-04-12, Tyler Stevens paid $533.82 using card number 060428385789 at Payne-Lowe.",060428385789,2006-04-12,Tyler Stevens,533.82,Payne-Lowe
"On 2019-02-10, Justin Michael paid $971.37 using card number 3597334843443751 at Roberts-Berry.",3597334843443751,2019-02-10,Justin Michael,971.37,Roberts-Berry
"On 1988-06-14, Cindy Clayton paid $862.17 using card number 180065240415740 at Horton, Taylor and Gilbert.",180065240415740,1988-06-14,Cindy Clayton,862.17,"Horton, Taylor and Gilbert"
"On 2014-06-06, Vanessa Moore paid $21.37 using card number 3530833016571207 at Woods-Gonzalez.",3530833016571207,2014-06-06,Vanessa Moore,21.37,Woods-Gonzalez
"On 1992-10-19, Lance Hebert paid $723.51 using card number 4401938026206724005 at Gibson-Davidson.",4401938026206724005,1992-10-19,Lance Hebert,723.51,Gibson-Davidson
"On 1990-01-28, Alexis Rogers paid $684.89 using card number 180028743152749 at Craig, Lee and Carr.",180028743152749,1990-01-28,Alexis Rogers,684.89,"Craig, Lee and Carr"
"On 1990-07-19, Paul Finley paid $541.6 using card number 4685161227530460 at Sharp, Smith and Valdez.",4685161227530460,1990-07-19,Paul Finley,541.6,"Sharp, Smith and Valdez"
"On 2020-11-19, Casey Hernandez paid $274.16 using card number 3501742684145936 at Brooks, Miles and Durham.",3501742684145936,2020-11-19,Casey Hernandez,274.16,"Brooks, Miles and Durham"
"On 2008-12-21, Joshua Wagner paid $644.55 using card number 213139187851919 at Hernandez, Murphy and Meyer.",213139187851919,2008-12-21,Joshua Wagner,644.55,"Hernandez, Murphy and Meyer"
"On 2019-03-22, Joel Roman paid $120.44 using card number 2239718707286791 at Foster Inc.",2239718707286791,2019-03-22,Joel Roman,120.44,Foster Inc
"On 2019-08-18, Chad May paid $440.42 using card number 3591065180170468 at Stuart, Brooks and Vance.",3591065180170468,2019-08-18,Chad May,440.42,"Stuart, Brooks and Vance"
"On 1971-07-20, Courtney Smith paid $459.19 using card number 36618251286826 at Ford-Ball.",36618251286826,1971-07-20,Courtney Smith,459.19,Ford-Ball
"On 2010-09-06, Brian Johnson paid $954.28 using card number 6533752431069037 at Warner, Williams and Yang.",6533752431069037,2010-09-06,Brian Johnson,954.28,"Warner, Williams and Yang"
"On 2005-06-21, Shawn Odom paid $877.09 using card number 6538302843959956 at Gutierrez LLC.",6538302843959956,2005-06-21,Shawn Odom,877.09,Gutierrez LLC
"On 1991-09-10, Megan Floyd paid $270.76 using card number 676192687058 at Butler, Hernandez and Bennett.",676192687058,1991-09-10,Megan Floyd,270.76,"Butler, Hernandez and Bennett"
"On 1992-06-22, Jasmine Scott paid $505.58 using card number 180033427086684 at Miller, Cole and Watson.",180033427086684,1992-06-22,Jasmine Scott,505.58,"Miller, Cole and Watson"
"On 1990-08-19, Daniel Meadows paid $186.87 using card number 213104699013986 at Lewis and Sons.",213104699013986,1990-08-19,Daniel Meadows,186.87,Lewis and Sons
"On 2001-09-17, Ian Andrade paid $913.5 using card number 3573936385467853 at Lang Ltd.",3573936385467853,2001-09-17,Ian Andrade,913.5,Lang Ltd
"On 1990-02-02, Lauren Cortez paid $871.81 using card number 30535560932047 at Gonzalez and Sons.",30535560932047,1990-02-02,Lauren Cortez,871.81,Gonzalez and Sons
"On 2006-11-22, Katherine Stark paid $305.46 using card number 6011785477725220 at Bernard, Warren and Combs.",6011785477725220,2006-11-22,Katherine Stark,305.46,"Bernard, Warren and Combs"
"On 2014-11-12, Taylor Durham paid $642.56 using card number 5206231203875093 at Smith-Patel.",5206231203875093,2014-11-12,Taylor Durham,642.56,Smith-Patel
"On 1987-03-06, Daisy Harvey paid $612.88 using card number 6011084840862112 at Adams-Sanders.",6011084840862112,1987-03-06,Daisy Harvey,612.88,Adams-Sanders
"On 1975-08-18, Mark Warner paid $161.31 using card number 377933410166687 at Bruce-Newman.",377933410166687,1975-08-18,Mark Warner,161.31,Bruce-Newman
"On 1971-01-25, Cassie Jefferson paid $764.89 using card number 348033974014898 at Matthews Ltd.",348033974014898,1971-01-25,Cassie Jefferson,764.89,Matthews Ltd
"On 1999-09-29, Valerie Brown paid $543.99 using card number 6011429396856218 at Roberson LLC.",6011429396856218,1999-09-29,Valerie Brown,543.99,Roberson LLC
"On 2018-07-12, Luke Yates paid $780.84 using card number 3550477358662961 at Miller and Sons.",3550477358662961,2018-07-12,Luke Yates,780.84,Miller and Sons
"On 2007-10-02, Cody Cole paid $535.05 using card number 6011655110475410 at Russell, Johnson and Gomez.",6011655110475410,2007-10-02,Cody Cole,535.05,"Russell, Johnson and Gomez"
"On 1988-04-20, Melissa Jackson paid $10.57 using card number 2720956046618391 at Adams-Thomas.",2720956046618391,1988-04-20,Melissa Jackson,10.57,Adams-Thomas
"On 2012-03-15, Adam Foster paid $330.91 using card number 4464715437993714 at Brock-Rivera.",4464715437993714,2012-03-15,Adam Foster,330.91,Brock-Rivera
"On 2023-03-20, Mackenzie Faulkner paid $29.28 using card number 379245937526543 at Nguyen LLC.",379245937526543,2023-03-20,Mackenzie Faulkner,29.28,Nguyen LLC
"On 2003-12-24, Rebecca Ortiz paid $929.81 using card number 6519398280737411 at Schultz and Sons.",6519398280737411,2003-12-24,Rebecca Ortiz,929.81,Schultz and Sons
"On 1981-04-27, David Ortega paid $879.93 using card number 4661797968868058918 at Salazar, Hart and Newman.",4661797968868058918,1981-04-27,David Ortega,879.93,"Salazar, Hart and Newman"
"On 2016-12-25, Joel Frazier paid $833.35 using card number 4561014388899373 at Hernandez, Cuevas and Webb.",4561014388899373,2016-12-25,Joel Frazier,833.35,"Hernandez, Cuevas and Webb"
"On 1993-05-07, Robert Wilson paid $314.44 using card number 4112545738757177510 at Rodriguez, Marsh and Spears.",4112545738757177510,1993-05-07,Robert Wilson,314.44,"Rodriguez, Marsh and Spears"
"On 2000-08-05, Omar Ware paid $67.35 using card number 3582825867362261 at Jordan, Smith and Lewis.",3582825867362261,2000-08-05,Omar Ware,67.35,"Jordan, Smith and Lewis"
"On 2012-01-05, Hannah Bruce paid $879.23 using card number 4918255371478596964 at Cervantes Ltd.",4918255371478596964,2012-01-05,Hannah Bruce,879.23,Cervantes Ltd
"On 2013-11-29, Mark Steele paid $947.48 using card number 4251341252866929664 at Peters Group.",4251341252866929664,2013-11-29,Mark Steele,947.48,Peters Group
"On 2008-06-23, Jill Jackson paid $94.8 using card number 4257905072368876766 at Flynn and Sons.",4257905072368876766,2008-06-23,Jill Jackson,94.8,Flynn and Sons
"On 2007-03-07, Amanda Ball paid $491.13 using card number 4438427978819148586 at Fritz Inc.",4438427978819148586,2007-03-07,Amanda Ball,491.13,Fritz Inc
"On 1984-01-23, Carol Taylor paid $78.52 using card number 3540745171339592 at Trujillo PLC.",3540745171339592,1984-01-23,Carol Taylor,78.52,Trujillo PLC
"On 1978-08-20, Wendy Camacho paid $763.0 using card number 379825449481269 at Cline, Wright and Dawson.",379825449481269,1978-08-20,Wendy Camacho,763.0,"Cline, Wright and Dawson"
"On 2000-12-10, Melissa Wiley paid $768.18 using card number 4729466711686 at Murphy-Smith.",4729466711686,2000-12-10,Melissa Wiley,768.18,Murphy-Smith
"On 2023-08-24, Bianca Phelps paid $137.11 using card number 3575186363745452 at Shannon-Farmer.",3575186363745452,2023-08-24,Bianca Phelps,137.11,Shannon-Farmer
"On 2014-03-26, Jessica Forbes DVM paid $480.53 using card number 502070127704 at Moore-Cantu.",502070127704,2014-03-26,Jessica Forbes DVM,480.53,Moore-Cantu
"On 1970-07-20, Kelly Wallace paid $554.31 using card number 4541520643611037125 at Cooper, Martinez and Dalton.",4541520643611037125,1970-07-20,Kelly Wallace,554.31,"Cooper, Martinez and Dalton"
"On 2008-05-01, Megan Jones paid $272.41 using card number 3571361115542622 at Bishop and Sons.",3571361115542622,2008-05-01,Megan Jones,272.41,Bishop and Sons
"On 1991-05-28, Janet Richmond paid $873.71 using card number 30532697311211 at Wright Ltd.",30532697311211,1991-05-28,Janet Richmond,873.71,Wright Ltd
"On 2024-01-07, Elizabeth Brown paid $428.91 using card number 2248999404389836 at Simpson Inc.",2248999404389836,2024-01-07,Elizabeth Brown,428.91,Simpson Inc
"On 2022-06-04, Carrie Ruiz paid $219.68 using card number 4918055269657 at Smith Inc.",4918055269657,2022-06-04,Carrie Ruiz,219.68,Smith Inc
"On 2011-12-03, Angela Herrera paid $543.9 using card number 573006848663 at Ramirez LLC.",573006848663,2011-12-03,Angela Herrera,543.9,Ramirez LLC
"On 1973-09-29, Audrey Salazar paid $732.63 using card number 2632856914630311 at Wade-Barrett.",2632856914630311,1973-09-29,Audrey Salazar,732.63,Wade-Barrett
"On 1988-07-05, Alyssa Roman paid $209.14 using card number 4020275884252418 at Brown, Joseph and Ray.",4020275884252418,1988-07-05,Alyssa Roman,209.14,"Brown, Joseph and Ray"
"On 1970-11-02, Jordan Williams paid $318.6 using card number 2578507925241913 at Williams LLC.",2578507925241913,1970-11-02,Jordan Williams,318.6,Williams LLC
"On 1973-08-02, Barbara Nunez paid $995.2 using card number 6011208635365417 at Walker PLC.",6011208635365417,1973-08-02,Barbara Nunez,995.2,Walker PLC
"On 2023-05-22, Jacob Carter paid $653.38 using card number 630417445180 at Stevenson-Sanchez.",630417445180,2023-05-22,Jacob Carter,653.38,Stevenson-Sanchez
"On 2019-06-28, Matthew Sweeney paid $443.72 using card number 373832060385056 at Garcia-Moreno.",373832060385056,2019-06-28,Matthew Sweeney,443.72,Garcia-Moreno
"On 1979-02-01, Angela Davis paid $522.4 using card number 4702410386574 at Wilkins, Jones and Bradley.",4702410386574,1979-02-01,Angela Davis,522.4,"Wilkins, Jones and Bradley"
"On 1977-06-01, Brandy Carrillo paid $129.79 using card number 6011344565574312 at Garcia Group.",6011344565574312,1977-06-01,Brandy Carrillo,129.79,Garcia Group
"On 2017-12-15, Robert Torres paid $232.45 using card number 30561853747413 at Morrison, Lewis and Gates.",30561853747413,2017-12-15,Robert Torres,232.45,"Morrison, Lewis and Gates"
"On 1978-04-07, Brian Leon paid $344.7 using card number 4356804420678838 at Brown and Sons.",4356804420678838,1978-04-07,Brian Leon,344.7,Brown and Sons
"On 2009-01-19, Tom Williams paid $592.43 using card number 4651994101372157 at Underwood-Foster.",4651994101372157,2009-01-19,Tom Williams,592.43,Underwood-Foster
"On 2011-12-27, Charles Mendez paid $237.81 using card number 630462532445 at Holland Group.",630462532445,2011-12-27,Charles Mendez,237.81,Holland Group
"On 2008-06-29, Richard Cooper paid $228.02 using card number 6501462638380652 at Morris, Nelson and Johnson.",6501462638380652,2008-06-29,Richard Cooper,228.02,"Morris, Nelson and Johnson"
"On 2021-12-29, Raven Mclaughlin paid $80.28 using card number 3504078593213342 at Johnston Group.",3504078593213342,2021-12-29,Raven Mclaughlin,80.28,Johnston Group
"On 2003-07-01, Sara Cochran paid $634.79 using card number 342395590599297 at Parker, Henry and Davis.",342395590599297,2003-07-01,Sara Cochran,634.79,"Parker, Henry and Davis"
"On 1979-08-22, Charles Bush paid $236.65 using card number 4087059325251 at Mathis LLC.",4087059325251,1979-08-22,Charles Bush,236.65,Mathis LLC
"On 2011-10-06, Kristina Preston paid $906.37 using card number 2286915452267529 at Walker-Chapman.",2286915452267529,2011-10-06,Kristina Preston,906.37,Walker-Chapman
"On 1992-07-15, Ashley Crawford paid $861.04 using card number 4442209690295931 at Miller, Reed and Flores.",4442209690295931,1992-07-15,Ashley Crawford,861.04,"Miller, Reed and Flores"
